nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Nicola Grandu,Cagliari Calcio,Cagliari U20,definitivo,1,0,0,0.0,contropiede
Ivan Sulev,Cagliari Calcio,Cagliari U20,definitivo,1,0,0,0.0,contropiede
Nik Prelec,Cagliari Calcio,Oxford United,definitivo,1,1,0,0.0,equilibrato
Alessandro Vinciguerra,Cagliari Calcio,Cerignola,definitivo,1,1,0,0.0,equilibrato
Giuseppe Ciocci,Cagliari Calcio,Spezia,definitivo,1,0,0,0.0,equilibrato
Mateusz Wieteska,Cagliari Calcio,Wieczysta,definitivo,1,1,0,0.0,equilibrato
Davide Veroli,Cagliari Calcio,Südtirol,prestito,1,1,1,0.0,equilibrato
Nicola Pintus,Cagliari Calcio,Pianese,prestito,1,1,1,0.0,equilibrato
Francesco Gallea,Cagliari Calcio,Juve Stabia,prestito,1,1,1,0.0,equilibrato
Velizar-Iliya Iliev,Cagliari Calcio,Cosenza,prestito,1,1,1,0.0,equilibrato
Othniël Raterink,Cagliari Calcio,ADO Den Haag,prestito,1,1,1,0.0,equilibrato
Andrea Belotti,Cagliari Calcio,svincolato,definitivo,1,1,0,0.0,equilibrato
Leonardo Pavoletti,Cagliari Calcio,svincolato,definitivo,1,1,0,0.0,equilibrato
Alberto Dossena,Cagliari Calcio,Como,prestito,1,0,1,0.1,possesso
Ibrahim Sulemana,Cagliari Calcio,Atalanta,prestito,1,1,1,0.15,pressing
Semih Kılıçsoy,Cagliari Calcio,Besiktas,prestito,1,1,1,0.0,equilibrato
Luca Mazzitelli,Cagliari Calcio,Como,prestito,1,0,1,0.1,possesso
Michael Folorunsho,Cagliari Calcio,Napoli,prestito,1,1,1,0.2,possesso
Christ Inao Oulaï,ACF Fiorentina,Trabzonspor,definitivo,1,0,0,0.0,equilibrato
Viery,ACF Fiorentina,Grêmio,definitivo,1,0,0,0.0,equilibrato
Víctor Valdepeñas,ACF Fiorentina,RM Castiglia,definitivo,1,0,0,0.0,equilibrato
Radu Drăgușin,ACF Fiorentina,Tottenham,prestito,1,0,1,0.0,equilibrato
Franco Mastantuono,ACF Fiorentina,Real Madrid,prestito,1,0,1,0.0,equilibrato
